iteration,num_neurons,membrane_threshold,currents_period,external_current,number_of_external_current,leak_coefficient,simulation_duration,refractory_period,guessed_critical_weight,observed_critical_synaptic_mean_weight,theoretical_critical_synaptic_mean_weight,error
0,1000,10.0,1,2.0,10,0.0001,100,1,0.5,0.010411361284538952,0.010006006006006006,0.03893393644257699
0,1000,105.0,1,2.0,10,0.0001,100,1,0.5,1.2926479513244764,0.1051011011011011,0.9186931747399497
0,1000,200.0,1,2.0,10,0.0001,100,1,0.5,0.23231808141760324,0.20019619619619622,0.13826683237653958
0,1000,10.0,1,5.0,10,0.0001,100,1,0.5,0.010364928809968468,0.01,0.035208038246967756
0,1000,105.0,1,5.0,10,0.0001,100,1,0.5,0.1786413238523914,0.1050950950950951,0.41169773695847905
0,1000,200.0,1,5.0,10,0.0001,100,1,0.5,0.3299210669869248,0.20019019019019021,0.3932179232491267
0,1000,10.0,1,8.0,10,0.0001,100,1,0.5,0.010786575450953967,0.009993993993993994,0.07347850673865876
0,1000,105.0,1,8.0,10,0.0001,100,1,0.5,0.11719462728936389,0.1050890890890891,0.10329431033032899
0,1000,200.0,1,8.0,10,0.0001,100,1,0.5,0.2408690761306097,0.20018418418418418,0.1689087391374574
1,1000,10.0,1,2.0,10,0.0001,100,1,0.5,0.012999170239716019,0.010006006006006006,0.23025809944123032
1,1000,105.0,1,2.0,10,0.0001,100,1,0.5,0.7122002654082523,0.1051011011011011,0.8524276018896816
1,1000,200.0,1,2.0,10,0.0001,100,1,0.5,1.7086982141365448,0.20019619619619622,0.8828370074130608
1,1000,10.0,1,5.0,10,0.0001,100,1,0.5,0.009961075183768318,0.01,0.003907692243414703
1,1000,105.0,1,5.0,10,0.0001,100,1,0.5,0.11027936673214335,0.1050950950950951,0.047010350083350465
1,1000,200.0,1,5.0,10,0.0001,100,1,0.5,0.37010106068432885,0.20019019019019021,0.45909317357796253
1,1000,10.0,1,8.0,10,0.0001,100,1,0.5,0.009943057908302,0.009993993993993994,0.005122778742892119
1,1000,105.0,1,8.0,10,0.0001,100,1,0.5,0.1446867445265367,0.1050890890890891,0.2736785292047613
1,1000,200.0,1,8.0,10,0.0001,100,1,0.5,0.22234647445640107,0.20018418418418418,0.09967457467630139
2,1000,10.0,1,2.0,10,0.0001,100,1,0.5,0.00873057206326593,0.010006006006006006,0.14608824410332655
2,1000,105.0,1,2.0,10,0.0001,100,1,0.5,1.2934857255332237,0.1051011011011011,0.9187458361337737
2,1000,200.0,1,2.0,10,0.0001,100,1,0.5,1.9123796513717433,0.20019619619619622,0.895315662843099
2,1000,10.0,1,5.0,10,0.0001,100,1,0.5,0.010243887873278434,0.01,0.023808135767926994
2,1000,105.0,1,5.0,10,0.0001,100,1,0.5,0.21052553172056213,0.1050950950950951,0.5007964391008333
2,1000,200.0,1,5.0,10,0.0001,100,1,0.5,0.2861325232784266,0.20019019019019021,0.300358491595199
2,1000,10.0,1,8.0,10,0.0001,100,1,0.5,0.010773305322748707,0.009993993993993994,0.0723372544829982
2,1000,105.0,1,8.0,10,0.0001,100,1,0.5,0.1250305110265986,0.1050890890890891,0.15949244527415574
2,1000,200.0,1,8.0,10,0.0001,100,1,0.5,0.3790047023697509,0.20018418418418418,0.47181609375155537
3,1000,10.0,1,2.0,10,0.0001,100,1,0.5,0.010620782031496422,0.010006006006006006,0.0578842521828684
3,1000,105.0,1,2.0,10,0.0001,100,1,0.5,1.0512716086567566,0.1051011011011011,0.9000247888027794
3,1000,200.0,1,2.0,10,0.0001,100,1,0.5,0.8617820020645169,0.20019619619619622,0.767695083308077
3,1000,10.0,1,5.0,10,0.0001,100,1,0.5,0.010017423994415929,0.01,0.001739368766425542
3,1000,105.0,1,5.0,10,0.0001,100,1,0.5,0.13838798879779945,0.1050950950950951,0.24057646904132013
3,1000,200.0,1,5.0,10,0.0001,100,1,0.5,0.33693339493042307,0.20019019019019021,0.4058463981240874
3,1000,10.0,1,8.0,10,0.0001,100,1,0.5,0.010777270661365308,0.009993993993993994,0.07267857437961804
3,1000,105.0,1,8.0,10,0.0001,100,1,0.5,0.17427231836479526,0.1050890890890891,0.39698346774092075
3,1000,200.0,1,8.0,10,0.0001,100,1,0.5,0.39032477056913273,0.20018418418418418,0.4871343064077242
