num_neurons,membrane_threshold,currents_period,external_current,number_of_external_current,leak_coefficient,simulation_duration,refractory_period,guessed_critical_weight,observed_critical_synaptic_mean_weight,theoretical_critical_synaptic_mean_weight,error
1000,10.0,1,2.0,10,0.0001,2000,1,0.5,0.011130348273897795,0.010006006006006006,0.10101591075353204
1000,20.0,1,2.0,10,0.0001,2000,1,0.5,0.020671111845382763,0.020016016016016016,0.031691368817835186
1000,30.0,1,2.0,10,0.0001,2000,1,0.5,0.03532477525301788,0.030026026026026026,0.15000093246280935
1000,40.0,1,2.0,10,0.0001,2000,1,0.5,0.042264935831766194,0.04003603603603603,0.052736381869883914
1000,50.0,1,2.0,10,0.0001,2000,1,0.5,0.05680711882348153,0.050046046046046046,0.11901805473437878
1000,60.0,1,2.0,10,0.0001,2000,1,0.5,0.07140190023646109,0.06005605605605605,0.1589011516896763
1000,70.0,1,2.0,10,0.0001,2000,1,0.5,0.08478015640077566,0.07006606606606607,0.17355582909227768
1000,80.0,1,2.0,10,0.0001,2000,1,0.5,0.08578517241087313,0.08007607607607607,0.06655108539565566
1000,90.0,1,2.0,10,0.0001,2000,1,0.5,0.10573221946637999,0.09008608608608608,0.14797886074139363
1000,100.0,1,2.0,10,0.0001,2000,1,0.5,0.11472657157867805,0.1000960960960961,0.12752473364506106
1000,110.0,1,2.0,10,0.0001,2000,1,0.5,0.1345453053970597,0.1101061061061061,0.18164289879034065
1000,120.0,1,2.0,10,0.0001,2000,1,0.5,0.14524993145331766,0.12011611611611611,0.17303839723517794
1000,130.0,1,2.0,10,0.0001,2000,1,0.5,0.1429325924939695,0.13012612612612615,0.0895979436487425
1000,140.0,1,2.0,10,0.0001,2000,1,0.5,0.1540315372338093,0.14013613613613615,0.09021140311403167
1000,150.0,1,2.0,10,0.0001,2000,1,0.5,0.17755562433750297,0.15014614614614616,0.15437121912430135
1000,160.0,1,2.0,10,0.0001,2000,1,0.5,0.19367874079429567,0.16015615615615617,0.173083449947372
1000,170.0,1,2.0,10,0.0001,2000,1,0.5,0.205007824255911,0.17016616616616617,0.16995282114819202
1000,180.0,1,2.0,10,0.0001,2000,1,0.5,0.21202502899167572,0.18017617617617618,0.15021270350468838
